RIC II, Part 1 (second edition) Vespasian 566	http://numismatics.org/ocre/id/ric.2_1(2).ves.566	73	73	T CAESAR VESPASIAN IMP IIII PON TR POT III COS II	VICTORIA AVGVSTA S C	Vespasian	3	https://godot.date/id/qEhjNGY2AkxDLDgtrPZVGY
RIC II, Part 1 (second edition) Vespasian 567	http://numismatics.org/ocre/id/ric.2_1(2).ves.567	73	73	T CAESAR VESPASIAN IMP IIII PON TR POT III COS II	CONCOR AVG S C	Vespasian	3	https://godot.date/id/qEhjNGY2AkxDLDgtrPZVGY
RIC II, Part 1 (second edition) Vespasian 568	http://numismatics.org/ocre/id/ric.2_1(2).ves.568	73	73	T CAESAR VESPASIAN IMP IIII PON TR POT III COS II	CONCORDIA AVGVSTI S C	Vespasian	3	https://godot.date/id/qEhjNGY2AkxDLDgtrPZVGY
RIC II, Part 1 (second edition) Vespasian 569	http://numismatics.org/ocre/id/ric.2_1(2).ves.569	73	73	T CAESAR VESPASIAN IMP IIII PON TR POT III COS II	FELICITAS PVBLICA S C	Vespasian	3	https://godot.date/id/qEhjNGY2AkxDLDgtrPZVGY
RIC II, Part 1 (second edition) Vespasian 570	http://numismatics.org/ocre/id/ric.2_1(2).ves.570	73	73	T CAESAR VESPASIAN IMP IIII PON TR POT III COS II	ROMA S C	Vespasian	3	https://godot.date/id/qEhjNGY2AkxDLDgtrPZVGY
RIC II, Part 1 (second edition) Vespasian 571	http://numismatics.org/ocre/id/ric.2_1(2).ves.571	73	73	T CAESAR VESPASIAN IMP IIII PON TR POT III COS II	FIDES PVBLICA S C	Vespasian	3	https://godot.date/id/qEhjNGY2AkxDLDgtrPZVGY
RIC II, Part 1 (second edition) Vespasian 572	http://numismatics.org/ocre/id/ric.2_1(2).ves.572	73	73	T CAESAR VESPASIAN IMP IIII PON TR POT III COS II	VICTORIA AVGVSTI S C	Vespasian	3	https://godot.date/id/qEhjNGY2AkxDLDgtrPZVGY
RIC II, Part 1 (second edition) Titus 1	http://numismatics.org/ocre/id/ric.2_1(2).tit.1	79	79	IMP T CAESAR VESPASIANVS AVG	TR POT VIII COS VII	Titus	8	https://godot.date/id/YZfhKxmfNgcxVXX9BsoGfk
RIC II, Part 1 (second edition) Vespasian 1058	http://numismatics.org/ocre/id/ric.2_1(2).ves.1058	79	79	IMP CAESAR VESPASIANVS AVG	TR POT X COS VIIII	Vespasian	10	https://godot.date/id/WbFCQ7e2jgvCawNkp22ixQ
RIC II, Part 1 (second edition) Vespasian 1059	http://numismatics.org/ocre/id/ric.2_1(2).ves.1059	79	79	IMP CAESAR VESPASIANVS AVG	TR POT X COS VIIII	Vespasian	10	https://godot.date/id/WbFCQ7e2jgvCawNkp22ixQ
RIC II, Part 1 (second edition) Vespasian 1060	http://numismatics.org/ocre/id/ric.2_1(2).ves.1060	79	79	IMP CAESAR VESPASIANVS AVG	TR POT X COS VIIII	Vespasian	10	https://godot.date/id/WbFCQ7e2jgvCawNkp22ixQ
RIC II, Part 1 (second edition) Vespasian 1061	http://numismatics.org/ocre/id/ric.2_1(2).ves.1061	79	79	IMP CAESAR VESPASIANVS AVG	TR POT X COS VIIII	Vespasian	10	https://godot.date/id/WbFCQ7e2jgvCawNkp22ixQ
RIC II, Part 1 (second edition) Vespasian 1062	http://numismatics.org/ocre/id/ric.2_1(2).ves.1062	79	79	IMP CAESAR VESPASIANVS AVG	TR POT X COS VIIII	Vespasian	10	https://godot.date/id/WbFCQ7e2jgvCawNkp22ixQ
RIC II, Part 1 (second edition) Vespasian 1063	http://numismatics.org/ocre/id/ric.2_1(2).ves.1063	79	79	IMP CAESAR VESPASIANVS AVG	TR POT X COS VIIII	Vespasian	10	https://godot.date/id/WbFCQ7e2jgvCawNkp22ixQ
RIC II, Part 1 (second edition) Vespasian 1064	http://numismatics.org/ocre/id/ric.2_1(2).ves.1064	79	79	IMP CAESAR VESPASIANVS AVG	TR POT X COS VIIII	Vespasian	10	https://godot.date/id/WbFCQ7e2jgvCawNkp22ixQ
RIC II, Part 1 (second edition) Vespasian 1065	http://numismatics.org/ocre/id/ric.2_1(2).ves.1065	79	79	IMP CAESAR VESPASIANVS AVG	TR POT X COS VIIII	Vespasian	10	https://godot.date/id/WbFCQ7e2jgvCawNkp22ixQ
RIC II, Part 1 (second edition) Vespasian 1066	http://numismatics.org/ocre/id/ric.2_1(2).ves.1066	79	79	IMP CAESAR VESPASIANVS AVG	TR POT X COS VIIII	Vespasian	10	https://godot.date/id/WbFCQ7e2jgvCawNkp22ixQ
RIC II, Part 1 (second edition) Vespasian 1067	http://numismatics.org/ocre/id/ric.2_1(2).ves.1067	79	79	IMP CAESAR VESPASIANVS AVG	TR POT X COS VIIII	Vespasian	10	https://godot.date/id/WbFCQ7e2jgvCawNkp22ixQ
RIC II, Part 1 (second edition) Vespasian 1068	http://numismatics.org/ocre/id/ric.2_1(2).ves.1068	79	79	IMP CAESAR VESPASIANVS AVG	TR POT X COS VIIII	Vespasian	10	https://godot.date/id/WbFCQ7e2jgvCawNkp22ixQ
RIC II, Part 1 (second edition) Vespasian 1069	http://numismatics.org/ocre/id/ric.2_1(2).ves.1069	79	79	IMP CAESAR VESPASIANVS AVG	TR POT X COS VIIII	Vespasian	10	https://godot.date/id/WbFCQ7e2jgvCawNkp22ixQ
